
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                     1:15:00 N/A                                                                     
System                           4 Services                   0        136 K Unknown         N/A                                                     0:04:07 N/A                                                                     
Registry                        72 Services                   0     25,572 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:03 N/A                                                                     
smss.exe                       316 Services                   0          N/A Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
csrss.exe                      436 Services                   0      1,628 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
wininit.exe                    504 Services                   0        128 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
csrss.exe                      512 Console                    1      2,128 K Running         NT AUTHORITY\SYSTEM                                     0:00:37 N/A                                                                     
winlogon.exe                   572 Console                    1      1,936 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
services.exe                   596 Services                   0      4,392 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:05 N/A                                                                     
lsass.exe                      604 Services                   0      8,912 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:28 N/A                                                                     
fontdrvhost.exe                724 Console                    1        824 K Unknown         Font Driver Host\UMFD-1                                 0:00:00 N/A                                                                     
fontdrvhost.exe                732 Services                   0         16 K Unknown         Font Driver Host\UMFD-0                                 0:00:00 N/A                                                                     
svchost.exe                    740 Services                   0     13,976 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:36 N/A                                                                     
svchost.exe                    820 Services                   0      9,116 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:26 N/A                                                                     
dwm.exe                        920 Console                    1     37,872 K Running         Window Manager\DWM-1                                    0:02:49 DWM Notification Window                                                 
svchost.exe                   1008 Services                   0     12,148 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:14 N/A                                                                     
svchost.exe                   1016 Services                   0     32,968 K Unknown         NT AUTHORITY\SYSTEM                                     0:14:31 N/A                                                                     
svchost.exe                    392 Services                   0     11,160 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:09 N/A                                                                     
svchost.exe                    388 Services                   0      8,752 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:33 N/A                                                                     
svchost.exe                   1072 Services                   0     13,100 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:11 N/A                                                                     
svchost.exe                   1184 Services                   0     10,008 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:06 N/A                                                                     
VBoxService.exe               1308 Services                   0      2,852 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:37 N/A                                                                     
Memory Compression            1396 Services                   0     40,432 K Unknown         NT AUTHORITY\SYSTEM                                     0:02:31 N/A                                                                     
svchost.exe                   1500 Services                   0      1,504 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1624 Services                   0      6,516 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:01 N/A                                                                     
svchost.exe                   1684 Services                   0      2,900 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1692 Services                   0      1,748 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   1752 Services                   0     10,248 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:20 N/A                                                                     
spoolsv.exe                   1864 Services                   0      1,456 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1904 Services                   0      5,308 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:07 N/A                                                                     
svchost.exe                   1512 Services                   0     11,696 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:20 N/A                                                                     
MsMpEng.exe                   2100 Services                   0     93,824 K Unknown         NT AUTHORITY\SYSTEM                                     0:04:57 N/A                                                                     
svchost.exe                   2212 Services                   0      2,132 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
SearchIndexer.exe             2328 Services                   0     12,752 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:11 N/A                                                                     
sihost.exe                    2660 Console                    1     14,080 K Running         DESKTOP-3RA9GFF\komang                                  0:00:07 N/A                                                                     
svchost.exe                   2680 Console                    1     23,416 K Running         DESKTOP-3RA9GFF\komang                                  0:00:10 Windows Push Notifications Platform                                     
